קישור, שם, מספר
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086257,"הצעת חוק יום שבתון בבחירות לעובד שהוא אזרח ישראל (תיקוני חקיקה), התש'ף-2020",פ\23\718
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087165,"הצעת חוק הביטוח הלאומי (תיקון - דמי אבטלה לעצמאיים), התש'ף-2020",פ\23\681
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085825,"הצעת חוק הגנה על הציבור מפני עבריינים שביצעו עבירות אלימות חמורות, התש'ף-2020",פ\23\717
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086746,"הצעת חוק הבטחת הכנסה (תיקון - מענק קירור), התש'ף-2020",פ\23\673
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087073,"הצעת חוק הביטוח הלאומי (תיקון - דמי אבטלה לעצמאיים), התש'ף-2020",פ\23\680
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087182," הצעת חוק הביטוח הלאומי (תיקון - דמי אבטלה לעצמאיים), התש'ף-2020",פ\23\682
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087546,"הצעת חוק הביטוח הלאומי (תיקון - דמי אבטלה לעצמאיים), התש'ף-2020",פ\23\683
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086383,"הצעת חוק שוויון זכויות לאנשים עם מוגבלות (תיקון - הנגשת אוטובוסים בין עירוניים), התש'ף-2020",פ\23\660
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086233,"הצעת חוק הביטוח הלאומי (תיקון - דמי אבטלה לעובד עצמאי), התש'ף-2020",פ\23\675
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086073,"הצעת חוק ידועים בציבור, התש'ף-2020",פ\23\628
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086591,"הצעת חוק יום חינוך ארוך ולימודי העשרה (תיקון - תחולת החוק), התש'ף-2020",פ\23\581
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086283,"הצעת חוק פנימיות הנוער, התש'ף-2020",פ\23\546
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087374,"הצעת חוק הספורט (תיקון - ייצוג הולם לאוכלוסייה הערבית), התש'ף-2020",פ\23\550
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085674,"הצעת חוק ההתיישנות (תיקון - הארכת התיישנות של תובענה בגין עבירת מין), התש'ף-2020",פ\23\622
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086012,"הצעת חוק המאבק בשחיתות הציבורית - הרשעה בעבירה שיש עמה קלון (תיקוני חקיקה), התש'ף-2020",פ\23\606
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086085,"הצעת חוק הוועדה למינוי בכירים (תיקוני חקיקה), התש'ף-2020",פ\23\790
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086728,"הצעת חוק האזרחים הוותיקים (תיקון - הנחה בארנונה לאזרח ותיק המתגורר בדירה שאינה בהחזקתו), התש'ף-2020",פ\23\733
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087051,"הצעת חוק דמי מחלה (תיקון - תשלום דמי מחלה החל מהיום הראשון להיעדרות), התש'ף-2020",פ\23\742
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087768,"הצעת חוק חינוך ממלכתי (תיקון - מטרות החינוך הערבי), התש'ף-2020",פ\23\847
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087047,"הצעת חוק המאבק בטרור (תיקון - החמרת ענישה), התש'ף-2020",פ\23\855
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086703,"הצעת חוק הבטחת הכנסה (תיקון - הגדלת הסכום להשתכרות בנוסף לקיצבה), התש'ף-2020",פ\23\735
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086782,"הצעת חוק קליטת חיילים משוחררים (תיקון - מימון שכר לימוד), התש'ף-2020",פ\23\723
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087157,"הצעת חוק הביטוח הלאומי (תיקון - דמי ביטוח מופחתים לסטודנטים), התש'ף-2020",פ\23\767
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087525,"הצעת חוק דמי מחלה (תיקון -  ניכוי ימי מחלה), התש'ף-2020",פ\23\762
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087531,"הצעת חוק ביטוח בריאות ממלכתי (תיקון - תנאים להחלפת תרופה, טיפול, מטפל, נותן שירותים או מוסד רפואי), התש'ף-2020",פ\23\760
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087592,"הצעת חוק הרשויות המקומיות (בחירת ראש הרשות וסגניו וכהונתם) (תיקון - סגן ראש רשות ברשות מעורבת), התש'ף-2020 ",פ\23\729
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087338,"הצעת חוק מעמד ותיקי מלחמת העולם השנייה (תיקון - מענק הטבות לוותיק מלחמה), התש'ף-2020 ",פ\23\860
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087381,"הצעת חוק הרשות לפיתוח הנגב (תיקון מס' 4) (תיקון - ביטול החוק), התש'ף-2020",פ\23\800
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087524,"הצעת חוק הביטוח הלאומי (תיקון - סיעוד על ידי בן משפחה), התש'ף-2020",פ\23\777
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086401,"הצעת חוק הביטוח הלאומי (תיקון - דמי פגיעה לעובד עצמאי), התש'ף-2020",פ\23\769
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086014,"הצעת חוק הביטוח הלאומי (תיקון - פטור מתשלום דמי ביטוח), התש'ף-2020",פ\23\724
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086752,"הצעת חוק הטבות לניצולי שואה (תיקון - הגדלת מענק שנתי), התש'ף-2020",פ\23\864
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087040,"הצעת חוק הקמת חדרי מיון בקרית שמונה ושדרות, התש'ף-2020",פ\23\748
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086366,"הצעת חוק העונשין (תיקון - החמרת ענישה להריגה בתאונת דרכים בנהיגה תחת השפעת אלכוהול וסמים), התש'ף-2020",פ\23\797
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086583,"הצעת חוק בתי דין רבניים (קיום פסקי דין של גירושין) (תיקון - סמכות בית המשפט לענייני משפחה), התש'ף-2020",פ\23\775
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086293,"הצעת חוק זכויות דיירים בקרקעות מוחכרות שנמכרו, התש'ף-2020",פ\23\787
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086579,"הצעת חוק העונשין (תיקון - הגדרת גזענות), התש'ף-2020",פ\23\778
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086469,"הצעת חוק סדר הדין הפלילי (תיקון - התיישנות בעבירות מין שנעשו במסגרת יחסי תלות או מרות), התש'ף-2020",פ\23\782
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086580,"הצעת חוק הגנת הצרכן (תיקון - איסור הפליית מחירים בשל מגדר), התש'ף-2020",פ\23\765
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087562,"הצעת חוק מיסוי מקרקעין (שבח ורכישה) (דירה נוספת שלא נעשה בה שימוש), התש'ף-2020",פ\23\813
